Both sexes,65 - 69 years,Louth,5368
Both sexes,65 - 69 years,Meath,7398
Both sexes,65 - 69 years,Offaly,3537
Both sexes,65 - 69 years,Westmeath,3787
Both sexes,65 - 69 years,Wexford,7265
Both sexes,65 - 69 years,Wicklow,6412
Both sexes,65 - 69 years,Clare,6156
Both sexes,65 - 69 years,Cork City,5724
Both sexes,65 - 69 years,Cork County,18411
Both sexes,65 - 69 years,Kerry,8584
Both sexes,65 - 69 years,Limerick City and County,9298
Both sexes,65 - 69 years,Tipperary,7909
Both sexes,65 - 69 years,Waterford City and County,5707
Both sexes,65 - 69 years,Galway City,2906
Both sexes,65 - 69 years,Galway County,8528
Both sexes,65 - 69 years,Leitrim,1747
Both sexes,65 - 69 years,Mayo,7632
Both sexes,65 - 69 years,Roscommon,3387
Both sexes,65 - 69 years,Sligo,3556
Both sexes,65 - 69 years,Cavan,3445
Both sexes,65 - 69 years,Donegal,8184
Both sexes,65 - 69 years,Monaghan,2870
Both sexes,70 - 74 years,Carlow,1888
Both sexes,70 - 74 years,Dublin City,17027
Both sexes,70 - 74 years,D�n Laoghaire-Rathdown,8631
Both sexes,70 - 74 years,Fingal,7395
Both sexes,70 - 74 years,South Dublin,7913
Both sexes,70 - 74 years,Kildare,5869
Both sexes,70 - 74 years,Kilkenny,3625
Both sexes,70 - 74 years,Laois,2523
Both sexes,70 - 74 years,Longford,1513
Both sexes,70 - 74 years,Louth,4226
Both sexes,70 - 74 years,Meath,5539
Both sexes,70 - 74 years,Offaly,2625
Both sexes,70 - 74 years,Westmeath,2860
Both sexes,70 - 74 years,Wexford,5791
Both sexes,70 - 74 years,Wicklow,4999
Both sexes,70 - 74 years,Clare,4575
Both sexes,70 - 74 years,Cork City,4906
Both sexes,70 - 74 years,Cork County,13775
Both sexes,70 - 74 years,Kerry,6540
Both sexes,70 - 74 years,Limerick City and County,7103
Both sexes,70 - 74 years,Tipperary,6171
Both sexes,70 - 74 years,Waterford City and County,4505
Both sexes,70 - 74 years,Galway City,2322
Both sexes,70 - 74 years,Galway County,6486
Both sexes,70 - 74 years,Leitrim,1328
Both sexes,70 - 74 years,Mayo,5689
Both sexes,70 - 74 years,Roscommon,2637
Both sexes,70 - 74 years,Sligo,2639
Both sexes,70 - 74 years,Cavan,2571
